"x1","y1","x2","y2"
2220.236962,-2799.070847,2300.371001,-2717.357988
3221.433897,-2902.836256,3341.589866,-3028.01406
3221.433897,-2902.836256,3116.224941,-2891.871596
3209.348157,-2312.505792,2832.001417,-2523.389087
3209.348157,-2312.505792,3211.073042,-2433.423353
2430.262813,-3004.939672,2713.653356,-3100.797762
2430.262813,-3004.939672,2158.32181,-3151.15109
2430.262813,-3004.939672,2383.81593,-2961.72212
2430.262813,-3004.939672,2378.58794,-2871.727584
3234.089218,-2690.426281,3211.073042,-2433.423353
3234.089218,-2690.426281,3351.088882,-2613.077352
3234.089218,-2690.426281,3369.366301,-2647.454746
3211.727959,-2772.13773,3116.224941,-2891.871596
3211.727959,-2772.13773,3305.299863,-2814.350284
3211.727959,-2772.13773,3221.433897,-2902.836256
2003.786277,-3019.392204,2220.236962,-2799.070847
1104.258239,-2631.06842,1267.724578,-2644.399203
1490.246796,-2760.74394,1267.724578,-2644.399203
825.717367,-2461.573122,818.063607,-2626.013459
825.717367,-2461.573122,1038.48753,-2426.400547
960.781687,-2875.693598,898.449144,-3113.968151
960.781687,-2875.693598,997.734567,-2748.35297
1722.310983,-3073.131505,1918.74432,-3135.519801
2024.4686,-2369.921933,2175.178594,-2338.993714
946.685962,-2370.213967,1038.48753,-2426.400547
946.685962,-2370.213967,825.717367,-2461.573122
1459.296897,-2939.662772,1500.835562,-3157.030605
1183.445755,-2859.79749,997.734567,-2748.35297
1183.445755,-2859.79749,1459.296897,-2939.662772
2003.813907,-2452.835052,2175.178594,-2338.993714
2003.813907,-2452.835052,2024.4686,-2369.921933
1939.723613,-2704.958693,2300.371001,-2717.357988
1939.723613,-2704.958693,2220.236962,-2799.070847
1723.928885,-2802.237053,1490.246796,-2760.74394
1562.402794,-2665.015298,1267.724578,-2644.399203
1048.765082,-2346.428514,946.685962,-2370.213967
1922.046876,-2579.79645,2003.813907,-2452.835052
1317.489196,-2278.590922,1290.929953,-2251.64143
1317.489196,-2278.590922,1350.829129,-2427.417533
1724.663995,-3053.345992,2003.786277,-3019.392204
1724.663995,-3053.345992,1722.310983,-3073.131505
1724.663995,-3053.345992,1723.928885,-2802.237053
1376.340175,-3019.344506,1500.835562,-3157.030605
1376.340175,-3019.344506,1219.573143,-3155.502503
942.908424,-2748.135301,997.734567,-2748.35297
942.908424,-2748.135301,818.063607,-2626.013459
942.908424,-2748.135301,960.781687,-2875.693598
1160.790565,-2951.523492,1219.573143,-3155.502503
1160.790565,-2951.523492,960.781687,-2875.693598
1833.916104,-2398.643552,2024.4686,-2369.921933
1833.916104,-2398.643552,2003.813907,-2452.835052
1833.916104,-2398.643552,1922.046876,-2579.79645
