,Node_Count,Convexity,Area_CF,Perim.,Ext.,Disp.,Elong.,Eccentr.,Orient.,Area_SL,ens_location,sample_id
138,8,0.999882356,69009,1093.907275,0.794058134,0.304759809,0.489298324,5.26305E+12,61.24783562,69010.09503,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
139,7,1,67274,1041.046713,0.142999138,0.104582094,0.038417044,1.37646E+11,38.79725094,67376.33076,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
140,7,1,59022,993.8327896,0.401092021,0.162827854,0.238264167,6.83711E+11,60.39486265,59141.79359,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
141,6,1,30508.5,760.6448084,0.638614748,0.590720055,0.047894694,8.60579E+11,43.6892493,30463.40739,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
142,8,1,87268.5,1127.652078,0.169111186,0.06128046,0.107830726,7.15324E+11,56.09724089,87219.63126,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
143,5,1,15982.5,535.8120689,0.752781061,0.185996963,0.566784098,28022469686,14.40721049,15934.01614,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
144,7,0.999990327,41561,880.4699276,1.015886607,0.169742186,0.84614442,1.00264E+12,9.979634549,41683.70631,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
145,8,1,54305,949.3664221,0.895257738,0.148052149,0.747205589,1.96749E+12,74.74896558,54398.21122,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
146,7,0.999934869,65471.5,1034.442963,0.521941426,0.232633608,0.289307818,2.78993E+12,56.12385509,65461.69757,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
147,5,1,6139,307.7792525,0.243959222,0.064950178,0.179009044,140911933.9,75.02138485,6206.571222,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
148,6,1,36194.5,827.4709995,0.640456303,0.583582176,0.056874126,1.35594E+12,43.41273267,36164.6478,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
149,6,1,19406.5,581.6366115,0.573211235,0.235041411,0.338169824,61127115152,59.59548212,19395.40704,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
150,6,0.999995979,44414.5,845.9253037,0.192080828,0.117578507,0.074502321,1.91357E+11,-50.49248817,44454.23401,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
151,3,1,11120,544.2106068,1.090957103,0.71911357,0.371843533,49198489868,55.50493394,11074.88148,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
152,5,1,17614.5,579.5727587,0.979972419,0.193511038,0.786461381,84044641593,16.23616187,17592.02709,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
153,7,0.999958427,60269.5,948.5405465,0.160894702,0.086110177,0.074784526,3.54473E+11,-51.2580628,60185.3454,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
154,6,0.999998602,55357,1007.573619,0.539776181,0.32012035,0.219655832,2.09218E+12,52.96310792,55424.7358,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
155,7,1,89990.5,1153.173214,0.06577141,0.060568792,0.005202618,2.74031E+11,45.88187022,89963.60191,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
156,4,1,18062.5,661.2808581,1.074896183,0.546917678,0.527978505,1.56315E+11,61.45940023,18121.40855,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
157,7,1,43526.5,805.641304,0.140503666,0.065266665,0.075237,31063352197,-58.14267448,43294.92706,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
158,4,1,29008.5,714.4035566,0.245229258,0.181382461,0.063846797,48186682679,50.14681224,28986.52534,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
159,7,1,70357,1039.694327,0.590779899,0.117394819,0.47338508,2.36049E+12,22.65202684,70355.24923,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
160,5,1,28767,867.5862677,1.183306194,0.875437765,0.307868429,1.41807E+12,37.61131727,28734.64112,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
161,8,0.982550167,78890,1184.910353,0.483158317,0.295161551,0.187996766,4.3297E+12,-37.16373803,78705.61648,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
162,5,1,35028.5,767.2948347,0.209207946,0.174263324,0.034944622,1.49805E+11,-47.12376009,35088.89852,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
163,7,1,37900,827.7087817,0.766309385,0.483953587,0.282355798,1.27318E+12,-36.71264817,37745.76497,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
