,Area_CF,Perim.,Ext.,Disp.,Elong.,Eccentr.,Orient.,Area_SL,ens_location,sample_id
112,17057.5,678.3397936,1.668756285,1.136793445,0.53196284,1.29362E+18,4.188587864,16945.85944,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
113,85020.5,1165.960766,0.274693362,0.172188196,0.102505166,9.59728E+18,5.099072034,85074.9109,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
114,31738.5,707.1396122,0.29323581,0.170512214,0.122723596,4.90183E+18,24.13821325,31870.31994,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
115,34244,790.2570693,0.951533405,0.284434938,0.667098467,3.86554E+18,24.03913559,34341.84398,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
116,28634.5,686.1547126,0.529170439,0.135554272,0.393616166,6.67121E+17,87.39743506,28547.73784,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
117,24962,682.8734392,0.840594349,0.207185647,0.633408702,5.03484E+17,83.49163468,24966.06494,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
118,82095.5,1127.620689,0.374304259,0.154315619,0.219988641,3.77337E+18,14.33115499,82090.24076,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
119,73690,1046.358775,0.295888175,0.076817104,0.219071071,2.18089E+18,9.587449248,73645.92072,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
120,40633,876.3425497,0.608391068,0.498397466,0.109993602,1.06074E+18,13.78751973,40630.82905,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
121,16702.5,586.6235246,1.013688737,0.245681506,0.768007231,5.62258E+17,67.02891527,16653.60672,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
122,111641.5,1369.393555,0.687504166,0.233879896,0.45362427,2.67726E+18,67.89401781,111624.3913,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
123,83519.5,1177.702638,0.675034266,0.114275366,0.5607589,6.2157E+18,-39.22431071,83603.63219,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
124,11667,529.5384549,1.562909582,0.56492375,0.997985832,8.74356E+17,-42.31725925,11717.64641,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
125,45561,922.865688,0.799416994,0.590431028,0.208985965,2.73665E+18,-44.55256276,45475.41563,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
126,67962,1003.70181,0.383605802,0.053504581,0.330101221,8.25775E+18,-12.44666401,67939.96271,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
127,29931.5,701.2393228,0.543532115,0.102046627,0.441485488,2.58095E+18,-12.10726535,29937.577,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
128,76917.5,1041.536057,0.376806609,0.026921768,0.349884841,7.81161E+18,-8.734240442,76933.01466,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
129,59723.5,1079.441798,0.773332804,0.600301205,0.173031599,5.066E+18,-40.8061532,59688.25828,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
130,87613,1400.58269,1.460894433,0.598182562,0.86271187,5.93961E+18,-35.35472911,87636.69285,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
131,23818,654.5869171,0.741156285,0.471359554,0.26979673,2.04202E+18,-33.90421516,23925.73495,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
132,15610,569.492818,1.172957632,0.208760157,0.964197475,2.64511E+18,-30.36196659,15597.22834,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
