,area,perim,eccentr,orient,ext,disp,elong,ens_location,sample_id
140,27974.825,527.209,6.3336E+11,-40.676,5.395,4.996,0.399,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
141,78789.189,900.773,3.34E+13,-64.155,6.072,5.334,0.738,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
142,29193.912,585.126,1.43E+12,63.512,5.631,4.91,0.721,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
143,40216.103,675.926,1.42E+12,89.524,5.591,5.286,0.306,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
144,8240.291,298.573,13688992363,36.779,4.823,4.595,0.228,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
145,30028.023,535.835,6.80516E+11,-21.717,5.236,4.809,0.427,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
146,73365.171,860.896,5.21715E+11,46.585,5.519,5.42,0.099,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
147,31311.272,616.11,2.90444E+11,-32.67,5.181,5.001,0.18,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
148,46229.04,689.632,5.64E+12,-31.188,5.595,5.006,0.589,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
149,10036.839,306.895,72043138144,-22.779,4.815,4.333,0.482,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
150,44464.573,623.886,4.77E+12,-36.991,5.741,4.996,0.745,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
151,56142.138,725.784,3.61E+12,-83.365,5.719,5.351,0.368,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
152,10903.032,345.456,82750954559,1.581,5.005,4.572,0.433,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
153,53978.947,732.663,3.61E+12,-43.698,5.815,5.403,0.413,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
154,11090.937,338.944,2.9062E+11,-15.566,5.29,4.368,0.922,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
155,31384.601,541.219,6.27993E+11,-61.968,5.324,4.944,0.38,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
156,26212.65,512.071,8.58391E+11,72.379,5.397,4.867,0.529,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
157,16166.644,379.163,3.33054E+11,-45.403,5.12,4.498,0.623,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
158,71392.176,940.525,5.53E+12,-10.234,5.642,5.374,0.267,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
159,34439.191,564.767,2.37E+12,59.537,5.556,4.84,0.716,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
160,32887.835,587.671,4.36E+12,-71.607,5.72,4.837,0.883,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
161,9058.362,300.777,39553423345,-28.136,5,4.569,0.431,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
162,37768.764,605.164,2.61E+12,54.174,5.319,4.659,0.66,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
163,84424.026,982.365,1.43E+13,-8.438,5.921,5.535,0.386,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
164,18918.755,420.662,73945537989,-6.895,5.02,4.81,0.209,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
165,62867.737,820.677,4.18E+12,62.807,5.493,5.16,0.333,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
166,21895.434,481.365,8.3096E+11,-57.298,5.426,4.783,0.643,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
167,25786.428,541.612,2.70494E+11,-23.405,5.046,4.755,0.291,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
168,16285.803,439.158,5.57508E+11,-9.442,5.36,4.667,0.693,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
169,53827.707,753.577,2.57E+12,-5.745,5.685,5.382,0.303,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
170,37287.546,663.296,6.33489E+11,-18.06,5.582,5.343,0.239,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
171,103734.63,1184.502,7.47E+12,87.617,5.824,5.65,0.174,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
172,375680.271,2050.919,6.68E+12,65.314,6.105,6.073,0.033,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
173,56715.017,726.671,9.60E+12,-37.163,5.882,5.233,0.649,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
174,43969.606,676.787,5.32E+12,74.632,5.835,5.29,0.545,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
175,40319.221,615.412,2.25E+12,-77.925,5.429,5.019,0.41,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
176,46403.196,695.965,1.59E+12,61.865,5.407,5.089,0.319,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
177,30568.821,541.523,7.72716E+11,-44.452,5.31,4.863,0.447,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
178,78947.303,927.932,3.90E+12,75.089,5.599,5.352,0.247,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
179,108026.639,1277.481,1.32E+14,2.271,6.382,5.645,0.737,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
180,6187.093,251.019,5037034053,-80.319,4.418,4.21,0.209,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
181,7706.368,300.132,13242622905,26.865,4.903,4.588,0.315,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
182,73786.81,841.261,5.50355E+11,-12.39,5.775,5.659,0.116,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
183,42443.456,665.931,3.44E+12,-56.976,5.625,5.063,0.562,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
184,55340.107,718.842,4.27E+12,70.102,5.716,5.199,0.517,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
185,34968.532,591.433,2.05E+12,-26.918,5.518,4.974,0.544,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
186,70601.603,836.308,5.02E+12,89.353,5.672,5.333,0.339,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
187,60716.003,839.629,1.41E+12,30.599,5.744,5.497,0.247,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
188,12880.61,371.665,9678861192,-67.074,4.886,4.75,0.136,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
189,43928.358,690.24,4.23164E+11,-61.427,5.443,5.257,0.186,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
190,63062.516,892.667,3.66E+12,-56.392,5.279,4.983,0.296,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
191,73255.178,947.063,2.45E+13,-87.944,6.227,5.465,0.763,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
192,133874.938,1259.074,3.11E+13,0.294,5.853,5.543,0.31,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
193,34358.988,551.986,2.06E+12,-40.363,5.474,4.793,0.681,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
194,6759.972,263.345,26577786985,54.598,4.369,3.882,0.487,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
195,61893.843,801.714,3.61E+12,-70.169,5.923,5.582,0.341,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
196,58158.672,777.341,3.16E+12,-5.658,5.775,5.464,0.31,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
197,77430.32,984.532,3.14E+13,75.941,6.162,5.598,0.564,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
198,48218.076,758.442,3.67E+12,-10.542,5.526,5.09,0.437,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
199,141333.822,1294.24,1.06E+14,-50.224,6.185,5.573,0.613,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
200,34482.73,560.182,5.0753E+11,86.041,5.209,4.915,0.294,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
201,45715.741,688.593,1.10E+12,-4.612,5.454,5.215,0.239,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
202,13057.057,370.259,1.34703E+11,-37.327,4.713,4.119,0.594,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
203,27725.05,496.692,8.24764E+11,-45.741,5.091,4.568,0.523,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
204,73818.891,862.543,3.24E+12,37.106,5.655,5.412,0.243,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
205,65051.551,914.253,1.06E+13,13.203,5.759,5.298,0.462,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
206,11542.365,341.237,37260324693,-35.962,4.93,4.633,0.297,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
207,123865.597,1184.361,9.31E+13,-47.506,6.352,5.556,0.796,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
208,19124.991,482.708,7.02189E+11,-70.741,5.098,4.462,0.636,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
209,89987.827,919.065,4.24E+12,65.519,5.859,5.65,0.209,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
210,60846.62,770.678,4.77E+12,47.737,5.594,5.18,0.414,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
211,79295.614,908.019,1.17E+13,21.867,5.984,5.513,0.471,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
212,34821.875,613.602,1.27E+12,64.133,5.513,5.143,0.37,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
213,70796.381,867.433,7.65E+12,-59.715,5.882,5.513,0.369,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
214,96023.679,1104.695,3.49E+12,78.899,5.102,4.916,0.186,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
215,46203.834,648.993,3.80105E+11,76.936,5.278,5.114,0.164,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
216,36348.024,626.357,3.79E+12,-87.463,5.527,4.948,0.58,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
